Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
Saidul_0.jpg,VGG16,spatula,9.34,spatula (9.3%) | American_lobster (5.1%) | Christmas_stocking (4.2%) | burrito (3.7%) | shower_cap (3.5%)
Saidul_1.jpg,VGG16,spatula,4.84,spatula (4.8%) | jersey (3.9%) | paintbrush (3.0%) | hatchet (3.0%) | syringe (2.7%)
Saidul_2.jpg,VGG16,bow_tie,7.55,bow_tie (7.5%) | beer_glass (6.7%) | burrito (5.5%) | spatula (4.8%) | goblet (3.0%)
Saidul_3.jpg,VGG16,American_lobster,6.17,American_lobster (6.2%) | burrito (5.1%) | Christmas_stocking (4.8%) | ice_lolly (4.6%) | spatula (3.5%)
Saidul_4.jpg,VGG16,syringe,9.19,syringe (9.2%) | packet (5.2%) | spatula (5.1%) | paintbrush (4.9%) | slide_rule (4.5%)
Borhan_0.jpg,VGG16,bow_tie,7.6,bow_tie (7.6%) | burrito (3.5%) | hotdog (3.2%) | seat_belt (2.7%) | wok (2.6%)
Borhan_1.jpg,VGG16,hotdog,5.98,hotdog (6.0%) | mortarboard (3.4%) | corn (3.1%) | seat_belt (3.1%) | ear (2.7%)
Borhan_2.jpg,VGG16,shoe_shop,4.28,shoe_shop (4.3%) | screwdriver (3.5%) | seat_belt (3.3%) | power_drill (3.1%) | military_uniform (3.0%)
Borhan_3.jpg,VGG16,shoe_shop,2.99,shoe_shop (3.0%) | hotdog (2.9%) | ice_lolly (2.4%) | wok (2.3%) | spatula (2.1%)
Borhan_4.jpg,VGG16,laptop,7.32,laptop (7.3%) | seat_belt (4.7%) | power_drill (3.2%) | cellular_telephone (2.1%) | notebook (1.9%)
Nazmul_0.jpg,VGG16,lab_coat,21.02,lab_coat (21.0%) | hair_spray (11.0%) | barbershop (6.5%) | bonnet (4.1%) | neck_brace (3.7%)
Nazmul_1.jpg,VGG16,bow_tie,17.63,bow_tie (17.6%) | wig (10.8%) | lab_coat (4.4%) | barbershop (4.3%) | neck_brace (3.6%)
Nazmul_2.jpg,VGG16,neck_brace,17.44,neck_brace (17.4%) | cowboy_hat (6.9%) | seat_belt (3.4%) | wig (2.6%) | feather_boa (2.3%)
Nazmul_3.jpg,VGG16,hair_spray,5.64,hair_spray (5.6%) | bow_tie (3.7%) | wig (3.3%) | cellular_telephone (2.3%) | shower_cap (2.0%)
Nazmul_4.jpg,VGG16,barbershop,11.05,barbershop (11.0%) | hair_spray (10.7%) | wig (5.4%) | lab_coat (5.2%) | neck_brace (4.9%)
Shawon_0.jpg,VGG16,cellular_telephone,11.27,cellular_telephone (11.3%) | television (11.1%) | lab_coat (4.1%) | iPod (4.1%) | neck_brace (3.3%)
Shawon_1.jpg,VGG16,lab_coat,15.6,lab_coat (15.6%) | bow_tie (3.8%) | tub (3.3%) | neck_brace (2.9%) | sunscreen (2.6%)
Shawon_2.jpg,VGG16,lab_coat,23.81,lab_coat (23.8%) | bow_tie (12.9%) | Windsor_tie (3.6%) | ice_lolly (2.1%) | sunscreen (1.9%)
Shawon_3.jpg,VGG16,sunscreen,10.05,sunscreen (10.1%) | bathtub (8.8%) | tub (7.6%) | lab_coat (5.8%) | ice_lolly (3.6%)
Shawon_4.jpg,VGG16,bow_tie,8.19,bow_tie (8.2%) | lab_coat (6.8%) | neck_brace (5.3%) | cellular_telephone (5.3%) | wig (3.8%)
angle_0.jpg,VGG16,lens_cap,10.08,lens_cap (10.1%) | Band_Aid (7.6%) | bonnet (6.2%) | crib (6.0%) | bib (4.9%)
angle_1.jpg,VGG16,bonnet,25.59,bonnet (25.6%) | bath_towel (18.9%) | bib (12.7%) | nipple (7.8%) | cradle (7.3%)
angle_2.jpg,VGG16,Band_Aid,20.57,Band_Aid (20.6%) | sunscreen (11.0%) | lipstick (8.1%) | face_powder (4.5%) | nipple (3.4%)
angle_3.jpg,VGG16,bathing_cap,39.41,bathing_cap (39.4%) | shower_cap (31.7%) | bath_towel (8.2%) | diaper (3.2%) | bonnet (2.6%)
angle_4.jpg,VGG16,maraca,11.57,maraca (11.6%) | crib (10.9%) | diaper (8.3%) | lens_cap (5.2%) | Band_Aid (4.6%)
angle_0.jpg,VGG16,lens_cap,10.25,lens_cap (10.2%) | Band_Aid (6.9%) | crib (6.6%) | ice_lolly (5.3%) | nipple (4.9%)
angle_1.jpg,VGG16,bath_towel,90.79,bath_towel (90.8%) | bonnet (4.3%) | shower_cap (3.7%) | bathing_cap (0.6%) | diaper (0.2%)
angle_2.jpg,VGG16,diaper,16.13,diaper (16.1%) | Band_Aid (15.1%) | lens_cap (6.7%) | crib (5.0%) | bath_towel (4.5%)
angle_3.jpg,VGG16,diaper,12.59,diaper (12.6%) | lens_cap (12.4%) | Band_Aid (8.9%) | crib (7.9%) | maraca (7.4%)
angle_4.jpg,VGG16,bath_towel,75.24,bath_towel (75.2%) | bonnet (8.7%) | shower_cap (4.7%) | diaper (4.3%) | bib (0.8%)
angle_0.jpg,VGG16,sweatshirt,11.79,sweatshirt (11.8%) | shower_cap (11.2%) | abaya (6.1%) | bonnet (6.1%) | Band_Aid (3.7%)
angle_1.jpg,VGG16,diaper,40.17,diaper (40.2%) | Band_Aid (5.1%) | crib (5.1%) | nipple (4.4%) | neck_brace (3.0%)
angle_2.jpg,VGG16,Band_Aid,16.5,Band_Aid (16.5%) | crib (4.5%) | pajama (4.1%) | bib (4.0%) | maraca (3.7%)
angle_3.jpg,VGG16,Band_Aid,11.02,Band_Aid (11.0%) | nipple (6.2%) | diaper (4.5%) | maraca (4.1%) | pajama (3.4%)
angle_4.jpg,VGG16,Band_Aid,15.82,Band_Aid (15.8%) | bib (5.5%) | lens_cap (4.4%) | hair_slide (3.3%) | pajama (3.2%)
Saidul_0.jpg,VGG19,Band_Aid,6.17,Band_Aid (6.2%) | Christmas_stocking (6.0%) | envelope (3.2%) | spatula (3.1%) | paintbrush (2.8%)
Saidul_1.jpg,VGG19,Christmas_stocking,7.26,Christmas_stocking (7.3%) | bow_tie (4.1%) | crossword_puzzle (4.0%) | envelope (3.8%) | jersey (3.6%)
Saidul_2.jpg,VGG19,beer_glass,3.77,beer_glass (3.8%) | confectionery (3.2%) | jigsaw_puzzle (3.1%) | Christmas_stocking (2.8%) | bow_tie (2.6%)
Saidul_3.jpg,VGG19,jigsaw_puzzle,8.5,jigsaw_puzzle (8.5%) | Christmas_stocking (7.8%) | envelope (3.9%) | ice_lolly (3.7%) | paintbrush (2.4%)
Saidul_4.jpg,VGG19,Christmas_stocking,4.47,Christmas_stocking (4.5%) | packet (3.5%) | cleaver (3.4%) | envelope (2.8%) | crossword_puzzle (2.7%)
Borhan_0.jpg,VGG19,seat_belt,21.36,seat_belt (21.4%) | military_uniform (2.2%) | spatula (2.2%) | greenhouse (2.2%) | accordion (2.0%)
Borhan_1.jpg,VGG19,pineapple,5.37,pineapple (5.4%) | wok (4.7%) | spatula (4.2%) | grocery_store (3.7%) | bow_tie (2.6%)
Borhan_2.jpg,VGG19,power_drill,3.79,power_drill (3.8%) | cleaver (3.7%) | Band_Aid (3.2%) | shoe_shop (3.1%) | spatula (2.9%)
Borhan_3.jpg,VGG19,seat_belt,5.79,seat_belt (5.8%) | wok (3.3%) | bow_tie (2.9%) | pineapple (2.6%) | grocery_store (2.6%)
Borhan_4.jpg,VGG19,bow_tie,6.56,bow_tie (6.6%) | seat_belt (5.7%) | military_uniform (5.2%) | shoe_shop (2.2%) | screwdriver (2.2%)
Nazmul_0.jpg,VGG19,lab_coat,15.35,lab_coat (15.4%) | neck_brace (5.9%) | syringe (4.6%) | bib (4.4%) | hair_spray (3.2%)
Nazmul_1.jpg,VGG19,neck_brace,7.8,neck_brace (7.8%) | lab_coat (7.1%) | bow_tie (5.7%) | bib (4.1%) | wig (3.3%)
Nazmul_2.jpg,VGG19,neck_brace,22.38,neck_brace (22.4%) | seat_belt (15.2%) | cowboy_hat (10.2%) | feather_boa (3.6%) | bib (2.4%)
Nazmul_3.jpg,VGG19,neck_brace,20.2,neck_brace (20.2%) | bow_tie (6.9%) | barbershop (2.4%) | paper_towel (2.2%) | bib (2.0%)
