Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
sunflower_0.jpg,VGG16,daisy,96.49,daisy (96.5%) | bee (0.9%) | hummingbird (0.4%) | fly (0.3%) | picket_fence (0.2%)
sunflower_1.jpg,VGG16,daisy,91.48,daisy (91.5%) | bee (3.7%) | fly (1.0%) | admiral (0.4%) | sulphur_butterfly (0.3%)
sunflower_2.jpg,VGG16,daisy,82.04,daisy (82.0%) | bee (5.6%) | snail (2.0%) | fly (1.1%) | pot (1.1%)
sunflower_3.jpg,VGG16,daisy,93.25,daisy (93.3%) | bee (1.4%) | fly (0.6%) | hummingbird (0.6%) | sulphur_butterfly (0.5%)
sunflower_4.jpg,VGG16,daisy,70.41,daisy (70.4%) | bee (6.8%) | snail (2.9%) | fly (2.6%) | pot (2.2%)
Rose_0.jpg,VGG16,hip,8.8,hip (8.8%) | bucket (3.7%) | picket_fence (2.7%) | cloak (2.2%) | sulphur_butterfly (2.1%)
Rose_1.jpg,VGG16,sulphur_butterfly,28.93,sulphur_butterfly (28.9%) | hip (11.1%) | ant (5.5%) | hummingbird (4.5%) | monarch (3.9%)
Rose_2.jpg,VGG16,hip,15.79,hip (15.8%) | barrow (4.4%) | monarch (2.9%) | chainlink_fence (2.1%) | ostrich (1.9%)
Rose_3.jpg,VGG16,hip,19.05,hip (19.1%) | barrow (7.4%) | park_bench (4.4%) | chainlink_fence (3.4%) | Irish_wolfhound (2.4%)
Rose_4.jpg,VGG16,hip,43.59,hip (43.6%) | bee (21.9%) | hummingbird (7.8%) | pot (3.0%) | cabbage_butterfly (2.2%)
Marigold_0.jpg,VGG16,goldfish,52.09,goldfish (52.1%) | stinkhorn (5.0%) | daisy (2.9%) | agaric (2.7%) | strawberry (2.6%)
Marigold_1.jpg,VGG16,daisy,23.4,daisy (23.4%) | zucchini (19.0%) | goldfish (4.5%) | pot (4.3%) | spaghetti_squash (4.3%)
Marigold_2.jpg,VGG16,spaghetti_squash,28.73,spaghetti_squash (28.7%) | zucchini (6.5%) | cauliflower (4.4%) | sulphur_butterfly (4.0%) | head_cabbage (3.5%)
Marigold_3.jpg,VGG16,daisy,29.4,daisy (29.4%) | spaghetti_squash (5.2%) | lacewing (2.5%) | cardoon (2.4%) | rapeseed (2.3%)
Marigold_4.jpg,VGG16,goldfish,9.9,goldfish (9.9%) | cucumber (4.6%) | tray (2.9%) | doormat (2.5%) | pot (2.3%)
Hibiscus_0.jpg,VGG16,cabbage_butterfly,16.57,cabbage_butterfly (16.6%) | daisy (14.5%) | hip (8.0%) | yellow_lady's_slipper (5.7%) | earthstar (5.1%)
Hibiscus_1.jpg,VGG16,daisy,45.3,daisy (45.3%) | cabbage_butterfly (11.6%) | earthstar (6.0%) | mushroom (4.6%) | picket_fence (2.1%)
Hibiscus_2.jpg,VGG16,daisy,70.69,daisy (70.7%) | American_egret (5.6%) | plastic_bag (2.0%) | picket_fence (1.7%) | cabbage_butterfly (1.0%)
Hibiscus_3.jpg,VGG16,daisy,50.04,daisy (50.0%) | cabbage_butterfly (3.5%) | picket_fence (2.5%) | worm_fence (1.3%) | plastic_bag (1.3%)
Hibiscus_4.jpg,VGG16,daisy,31.97,daisy (32.0%) | pot (20.8%) | picket_fence (15.9%) | greenhouse (4.3%) | plastic_bag (1.5%)
