epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0488,0.95814,2.97078,1.13034,0.00667,0.92308,0.09172,0.05381,0.87079,3.06489,1.21707,4e-05,4e-05,4e-05
2,34.4608,0.70975,2.65638,0.99266,0.00722,1,0.36621,0.30898,0.45271,2.86585,0.88439,9.802e-05,9.802e-05,9.802e-05
3,48.4338,0.63399,2.35797,0.97494,0.00722,1,0.5773,0.52484,0.38744,2.79383,0.84199,0.000153664,0.000153664,0.000153664
4,65.6354,0.58288,1.7775,0.92339,0.00722,1,0.64505,0.5952,0.42773,2.67244,0.87382,0.000206932,0.000206932,0.000206932
5,81.7221,0.48004,1.53298,0.91838,0.28298,0.61538,0.64918,0.59309,0.48356,2.6239,0.90772,0.000257824,0.000257824,0.000257824
6,97.3096,0.5264,1.23841,0.91693,1,0.20237,0.66293,0.61858,0.5615,2.62231,0.92584,0.00030634,0.00030634,0.00030634
7,110.113,0.5215,1.18245,0.89701,0.6215,0.133,0.69266,0.58271,0.57351,2.64307,0.93284,0.00035248,0.00035248,0.00035248
8,123.897,0.56923,1.08763,0.90371,0.79936,0.30671,0.62189,0.5339,0.588,2.57426,0.95698,0.000396244,0.000396244,0.000396244
9,139.358,0.51327,1.02612,0.90253,0.80755,0.38462,0.5957,0.52298,0.63239,2.54771,0.9808,0.000437632,0.000437632,0.000437632
10,153.176,0.56617,1.02424,0.87274,0.8423,0.61538,0.63489,0.58494,0.60771,2.4427,1.01139,0.000476644,0.000476644,0.000476644
11,165.817,0.54053,0.95058,0.90826,0.87888,0.55996,0.63826,0.58936,0.53019,2.32697,0.98662,0.00051328,0.00051328,0.00051328
12,177.779,0.48992,1.05401,0.89608,0.78426,0.56091,0.69094,0.5958,0.55234,2.1947,0.99882,0.00054754,0.00054754,0.00054754
13,190.956,0.59346,1.04521,0.92982,0.93546,0.69231,0.74089,0.60959,0.5764,2.00874,1.01929,0.000579424,0.000579424,0.000579424
14,203.077,0.52553,0.92388,0.87896,0.94866,0.69231,0.74706,0.64312,0.58538,2.00957,1.07084,0.000608932,0.000608932,0.000608932
15,218.114,0.55076,0.94748,0.90468,0.94866,0.69231,0.74706,0.64312,0.58538,2.00957,1.07084,0.000636064,0.000636064,0.000636064
16,238.663,0.56085,0.97307,0.88973,0.8898,0.62166,0.73101,0.5977,0.5837,2.31071,1.05419,0.00066082,0.00066082,0.00066082
17,256.241,0.50304,0.92066,0.86466,1,0.5337,0.71051,0.5966,0.50493,2.25527,0.92598,0.0006832,0.0006832,0.0006832
18,270.98,0.52566,0.87707,0.87935,1,0.5337,0.71051,0.5966,0.50493,2.25527,0.92598,0.000703204,0.000703204,0.000703204
19,299.509,0.50486,0.94726,0.9174,0.85015,0.53846,0.71383,0.64737,0.53266,2.11031,0.94105,0.000720832,0.000720832,0.000720832
20,321.41,0.55797,0.89358,0.90587,0.87488,0.53794,0.71956,0.63823,0.54982,2.11288,0.96177,0.000736084,0.000736084,0.000736084
21,340.388,0.51134,0.90903,0.83845,0.87488,0.53794,0.71956,0.63823,0.54982,2.11288,0.96177,0.00074896,0.00074896,0.00074896
22,354.817,0.52673,0.85738,0.87388,0.88558,0.59708,0.78826,0.66661,0.55344,1.96501,0.96296,0.00075946,0.00075946,0.00075946
